,UID,SUMLEVEL,COUNTYID,STATEID,state,state_ab,city,place,type,primary,zip_code,area_code,lat,lng,ALand,AWater,pop,male_pop,female_pop,rent_mean,rent_median,rent_stdev,rent_sample_weight,rent_samples,rent_gt_10,rent_gt_15,rent_gt_20,rent_gt_25,rent_gt_30,rent_gt_35,rent_gt_40,rent_gt_50,universe_samples,used_samples,hi_mean,hi_median,hi_stdev,hi_sample_weight,hi_samples,family_mean,family_median,family_stdev,family_sample_weight,family_samples,hc_mortgage_mean,hc_mortgage_median,hc_mortgage_stdev,hc_mortgage_sample_weight,hc_mortgage_samples,hc_mean,hc_median,hc_stdev,hc_samples,hc_sample_weight,home_equity_second_mortgage,second_mortgage,home_equity,debt,second_mortgage_cdf,home_equity_cdf,debt_cdf,hs_degree,hs_degree_male,hs_degree_female,male_age_mean,male_age_median,male_age_stdev,male_age_sample_weight,male_age_samples,female_age_mean,female_age_median,female_age_stdev,female_age_sample_weight,female_age_samples,pct_own,married,married_snp,separated,divorced,data_type
16331,279792,140,143,72,Puerto Rico,PR,Vega Alta,Vega Alta,Urban,tract,692,787,18.4314469,-66.3279493,11636893.0,9178,4993,2303,2690,493.65185,458.0,91.35356,129.0,129.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,362,48,22946.07992,15197.0,23635.48385,1433.96548,1678.0,23747.81074,18527.0,18325.05551,1052.45925,1300.0,780.46259,737.0,234.97669,404.85542,441.0,176.59411,160.0,97.29104,875.0,772.56919,0.0,0.0,0.0,0.33511,1.0,1.0,0.93297,0.57504,0.53011,0.61467,40.14788,39.58333,21.12074,603.36508,2303.0,40.96226,41.66667,23.39821,679.60803,2690.0,0.80301,0.47701,0.04452,0.04256,0.06605,Train
16320,222446,140,7,4,Arizona,AZ,Payson,Payson,CDP,tract,85541,928,34.2430422,-111.3385901,8930183.0,14466,6228,2719,3509,858.64234,851.0,298.55635,445.55354,685.0,1.0,1.0,0.9781,0.64526,0.53285,0.49781,0.44526,0.26715,776,685,53348.82814,45362.0,41583.79974,1726.92323,2520.0,60985.405,48634.0,41475.9287,1115.49568,1720.0,1418.0209,1243.0,770.54757,612.29186,1076.0,449.41369,424.0,150.29775,668.0,481.13131,0.0,0.0,0.04587,0.61697,1.0,0.69414,0.5631,0.91452,0.92761,0.90501,50.96564,55.33333,25.97562,644.06334,2719.0,51.99436,56.16667,24.74136,770.32586,3509.0,0.69258,0.64857,0.04617,0.02693,0.06199,Train
16318,228708,140,65,6,California,CA,Idyllwild,Idyllwild-pine Cove,City,tract,92549,951,33.7705515,-116.7879765,122981710.0,4439,1489,820,669,1222.33817,1165.0,304.86583,33.62478,138.0,1.0,0.84783,0.76087,0.60145,0.47101,0.47101,0.28261,0.28261,153,138,68576.93431,48521.0,61636.46296,366.54641,590.0,73869.84597,59252.0,59409.20132,185.32332,350.0,1685.77278,1492.0,1017.85533,93.48454,250.0,400.11239,423.0,194.17092,187.0,126.84455,0.0,0.0,0.04119,0.57208,1.0,0.71532,0.65652,0.95557,0.93115,0.9806,41.35787,40.25,22.28762,204.82477,820.0,51.87719,56.91667,21.11659,177.7169,669.0,0.58036,0.54265,0.16765,0.02206,0.08676,Train
16317,225600,140,37,6,California,CA,Los Angeles,Vernon City,City,tract,90014,213,34.046994,-118.2415978,578740.0,0,3294,1755,1539,781.39248,460.0,747.02531,1088.47161,1571.0,0.98524,0.96908,0.92621,0.85875,0.68517,0.44975,0.33099,0.23612,1589,1423,34259.28668,16063.0,44450.57942,1458.40211,1949.0,50031.92684,26878.0,50921.27866,315.09427,413.0,1745.29722,1624.0,522.40997,59.0895,180.0,696.26886,654.0,293.32257,180.0,91.49187,0.0,0.0,0.01667,0.5,1.0,0.8115,0.77776,0.74022,0.74582,0.73328,49.75434,51.25,19.80403,394.20595,1755.0,51.1424,50.25,23.61148,350.74352,1539.0,0.19548,0.26184,0.128,0.09468,0.14436,Train
16202,242300,140,31,17,Illinois,IL,Chicago,Lincolnwood,Village,tract,60640,773,41.9726684,-87.6638662,549967.0,0,4510,2254,2256,1034.56886,980.0,444.5701,852.14981,1660.0,0.96325,0.85482,0.65241,0.45602,0.37349,0.2506,0.19157,0.13916,1698,1660,78388.48176,56593.0,69779.73637,1304.60179,2395.0,101878.9509,92364.0,69264.69933,339.94209,885.0,2305.34096,1958.0,908.28873,124.75395,557.0,660.95607,597.0,300.97734,140.0,76.79444,0.0,0.0,0.19943,0.79914,1.0,0.11832,0.15864,0.87137,0.8913,0.85199,40.24047,38.08333,15.79946,601.32397,2254.0,40.38191,36.66667,20.24051,426.75737,2256.0,0.28736,0.40288,0.07751,0.00991,0.08878,Train
16212,259339,140,35,30,Montana,MT,Cut Bank,Santa Rita,CDP,tract,59427,406,48.7543083,-112.2752741,665221220.0,5248850,3500,1579,1921,749.78823,614.0,521.9793,398.81248,455.0,0.96703,0.94945,0.88571,0.73846,0.62418,0.47473,0.26593,0.22418,502,455,55510.88701,36415.0,55199.43589,813.61773,1229.0,73230.5378,58790.0,56528.73196,436.07854,813.0,1216.36492,1163.0,573.81767,199.90381,348.0,419.59489,368.0,175.65004,379.0,295.63697,0.0,0.0,0.09354,0.47868,1.0,0.47092,0.80849,0.86807,0.87578,0.86228,35.98062,33.75,24.50781,387.74844,1579.0,39.78167,40.33333,25.02392,413.47557,1921.0,0.61018,0.55546,0.01803,0.00541,0.07574,Train
16215,268390,140,61,36,New York,NY,New York,New York City,City,tract,10014,212,40.7343782,-74.0151997,165732.0,283835,4358,2214,2144,2127.39472,1947.0,942.09353,249.80062,1307.0,0.91217,0.88136,0.61787,0.48921,0.32974,0.23652,0.20801,0.20801,1378,1298,139648.2065,106454.0,104072.5316,872.87336,2583.0,181987.509,200754.0,72391.54034,116.51949,708.0,2499.83631,2243.0,1385.37089,203.25052,717.0,1035.08043,1135.0,613.64543,488.0,197.1032,0.0,0.0,0.05477,0.59502,1.0,0.65315,0.60999,0.98741,0.97644,1.0,44.12089,41.33333,18.26276,479.04325,2214.0,42.67612,40.16667,20.09796,529.47872,2144.0,0.53057,0.32718,0.03014,0.01118,0.07049,Train
16230,265260,140,3,32,Nevada,NV,Las Vegas,Winchester,City,tract,89106,702,36.1880187,-115.1588665,2309196.0,0,4820,2271,2549,751.93558,714.0,524.79299,724.99858,958.0,1.0,0.93505,0.83987,0.77044,0.66629,0.54647,0.49608,0.38298,1078,893,33258.5479,19654.0,41507.0326,1200.39681,1533.0,36719.42262,21825.0,39371.85003,753.5291,1054.0,1083.69819,1123.0,341.09115,186.16952,299.0,353.78322,356.0,94.29415,156.0,135.29293,0.0,0.0,0.01538,0.65714,1.0,0.81491,0.47103,0.71616,0.67196,0.74886,31.09587,25.66667,21.46236,581.55007,2271.0,34.56345,33.0,22.31344,592.68375,2549.0,0.36079,0.34177,0.10823,0.0443,0.13038,Train
16245,286099,140,215,48,Texas,TX,Weslaco,Llano Grande,Town,tract,78596,956,26.1274699,-97.9759672,9006963.0,146651,5890,3037,2853,758.90864,679.0,392.27343,393.03042,493.0,1.0,1.0,1.0,0.86448,0.70226,0.59343,0.52156,0.2423,516,487,37028.60055,27633.0,36804.63702,1402.23339,1760.0,41395.73586,29123.0,37940.36731,1042.84352,1330.0,942.97555,701.0,892.90316,183.45408,206.0,342.95237,323.0,160.32996,1038.0,826.11162,0.0,0.0,0.0,0.16559,1.0,1.0,0.98236,0.59101,0.63454,0.55251,37.39401,31.41667,25.94736,684.10477,3037.0,42.11413,39.5,24.89597,715.24915,2853.0,0.73905,0.5927,0.10633,0.0638,0.00878,Train
16249,226702,140,37,6,California,CA,South Gate,Walnut Park,City,tract,90280,323,33.9506731,-118.2241036,442234.0,0,4399,2191,2208,1081.33579,1000.0,296.25956,234.30206,548.0,1.0,0.98358,0.89781,0.7792,0.68248,0.60219,0.56022,0.41788,553,548,45871.7222,38053.0,29187.30296,762.28255,1016.0,44259.22435,35006.0,29514.30461,712.15312,926.0,1814.75115,1699.0,742.2146,118.34012,380.0,352.69345,315.0,134.88277,83.0,68.85859,0.0,0.0,0.04752,0.82073,1.0,0.68657,0.12449,0.39037,0.37311,0.4064,31.04957,28.25,20.14904,544.05328,2191.0,33.48011,30.58333,21.21709,542.21963,2208.0,0.52376,0.44305,0.07804,0.04657,0.08433,Train
16250,287587,140,451,48,Texas,TX,San Angelo,San Angelo City,Town,tract,76903,325,31.4525623,-100.4313291,3175903.0,0,2430,1086,1344,589.17456,586.0,257.40822,410.42972,453.0,0.97887,0.8169,0.65023,0.49061,0.41549,0.30282,0.30282,0.23239,494,426,33575.45342,28172.0,24587.04838,833.14664,1008.0,46460.92881,39010.0,26278.90513,396.98873,551.0,763.48213,730.0,203.46696,165.72289,185.0,386.11237,318.0,214.32298,329.0,284.05051,0.0,0.0,0.0,0.35992,1.0,1.0,0.91893,0.66108,0.68508,0.64378,44.56677,45.16667,26.94586,262.9689,1086.0,48.40413,47.33333,25.0745,293.58046,1344.0,0.57235,0.45029,0.01754,0.00234,0.25965,Train
16252,249321,140,71,22,Louisiana,LA,New Orleans,Arabi,City,tract,70116,504,29.9707488,-90.0607774,365253.0,0,1580,877,703,899.99807,890.0,299.59983,227.96958,378.0,0.84932,0.82466,0.74247,0.74247,0.65205,0.61918,0.53151,0.48493,378,365,39514.73406,22639.0,45110.04137,436.47949,576.0,39611.71216,26737.0,32686.90133,162.46124,228.0,1219.42497,1401.0,583.57649,40.51578,76.0,502.98637,435.0,234.12989,122.0,85.13131,0.0,0.0,0.01515,0.38384,1.0,0.81552,0.90298,0.76937,0.78733,0.74419,34.22684,32.16667,17.07325,200.43085,877.0,34.94302,32.41667,20.32705,178.21177,703.0,0.33797,0.19548,0.10372,0.07979,0.14229,Train
16472,242555,140,31,17,Illinois,IL,Chicago,Chicago City,Village,tract,60622,773,41.8995065,-87.6796003,328316.0,0,3149,1669,1480,1394.56348,1302.0,455.48614,221.37778,913.0,0.97481,0.91238,0.67689,0.45126,0.3023,0.22673,0.17744,0.12815,973,913,98748.26684,75819.0,78633.95525,631.18495,1588.0,134830.1232,115857.0,77280.41714,169.6513,595.0,2683.96164,2493.0,1128.41431,93.58109,407.0,869.34303,843.0,342.1889,208.0,102.63052,0.0,0.0,0.12683,0.66179,1.0,0.32712,0.45971,0.97466,0.99429,0.95253,36.4036,34.08333,16.36149,361.32324,1669.0,35.9924,32.75,15.74131,323.47061,1480.0,0.40775,0.31747,0.03059,0.02243,0.08634,Train
16260,240008,140,143,13,Georgia,GA,Temple,Temple City,City,tract,30179,770,33.7809921,-85.0893166,71895498.0,269350,3332,1717,1615,701.57134,654.0,208.10014,290.54825,355.0,0.97465,0.80282,0.60845,0.60845,0.52394,0.52394,0.52394,0.52394,361,355,65360.61107,42752.0,63451.33107,873.21993,1335.0,63958.6175,46125.0,56653.10221,624.27091,1046.0,1183.94624,1097.0,394.04409,314.9032,538.0,417.99777,398.0,154.25147,436.0,326.90909,0.0,0.0,0.05955,0.55236,1.0,0.63079,0.69383,0.69411,0.65746,0.73408,42.45998,44.58333,22.26983,379.85065,1717.0,41.74792,44.58333,22.32036,373.38695,1615.0,0.70438,0.63089,0.07479,0.05748,0.16136,Train
16266,225769,140,37,6,California,CA,Los Angeles,Vernon City,City,tract,90011,323,34.0218419,-118.2570623,426940.0,0,5202,2670,2532,947.96701,894.0,409.99242,603.16843,1089.0,0.98593,0.97092,0.90807,0.74765,0.68105,0.5272,0.47092,0.34334,1097,1066,35798.27882,24241.0,34233.90304,1003.2743,1225.0,35814.00357,25911.0,30401.2241,859.37906,1061.0,1998.53443,2099.0,571.04683,23.47495,86.0,454.51768,382.0,184.1414,42.0,34.42424,0.0,0.0,0.0,0.67188,1.0,1.0,0.43558,0.37027,0.35026,0.39219,32.97563,34.91667,18.04552,641.30192,2670.0,33.14755,32.33333,19.42518,600.54093,2532.0,0.15629,0.39294,0.08202,0.00715,0.0,Train
16271,274286,140,109,40,Oklahoma,OK,Oklahoma City,Nichols Hills City,CDP,tract,73114,405,35.5445186,-97.5071443,7176373.0,15052,1614,681,933,1036.10237,1071.0,215.56086,39.175,103.0,0.90099,0.85149,0.71287,0.60396,0.42574,0.13861,0.08911,0.0,128,101,57307.417,45069.0,45318.61359,450.39388,666.0,63479.57497,51575.0,35646.88687,263.49155,418.0,1122.50083,1112.0,322.06669,161.76232,280.0,452.69703,427.0,167.93981,258.0,182.74747,0.0,0.0,0.01673,0.52045,1.0,0.81139,0.74796,0.89491,0.90392,0.88824,44.98542,46.66667,22.15407,202.31981,681.0,45.21081,47.58333,24.44073,220.51545,933.0,0.81165,0.38401,0.00784,0.00784,0.1348,Train
16275,277823,140,91,42,Pennsylvania,PA,Fort Washington,Ambler,Borough,tract,19034,215,40.1444849,-75.2140269,2409072.0,35484,2872,1304,1568,1410.03362,1419.0,260.55954,45.44857,201.0,1.0,0.75124,0.50249,0.41791,0.26368,0.24876,0.24876,0.21393,212,201,111210.0199,92186.0,74655.21133,410.42387,1098.0,120627.0153,109985.0,64865.77216,246.34866,763.0,2367.35442,2225.0,1057.2279,169.63612,616.0,668.60938,632.0,241.44502,270.0,148.57523,0.0,0.0,0.19752,0.69526,1.0,0.12168,0.37966,0.94954,0.96126,0.94086,37.02824,35.25,22.69016,317.13845,1304.0,40.7758,40.75,23.14883,349.53273,1568.0,0.81929,0.61138,0.01865,0.01079,0.04122,Train
